"sampling_platform","year","species","port_sampled","port_biologist_initials","date_of_collection","length_cm","wt_kg","macro_maturity_code","oregon_sample_number","fish_id","ovary_id","slide_number","date_read","reader","certainty","bad_slide","x1","x2","x3","x4_1","x4_2","x5","x6","x7","x8","x9","x10","biological_maturity","functional_maturity","percent_atresia","spawning","batch_spent","x11","x12","po_fs_present_y_n","histology_notes","data_notes","port_sampler_remarks","processing_notes","individual_stage_analysis","histo_stage","bio_macro_agree"
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-11-18,35,0.45359237,"1","OR1652208",24,328,328,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,2,"N","N","N","N","N",NA,NA,NA,NA,1,"3",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-11-02,40,0.771107029,"3","OR1652162",8,333,333,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2017,"Arrowtooth","Astoria","SF",2017-01-09,50,1.270058636,"5",NA,8,355,355,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","Y","NA",1,1,10,"N","N","Y","N","Y","Mainly spent",NA,"Collected with electronic sampling system",NA,1,"11",1
"ODFW",2017,"Arrowtooth","Astoria","SF",2017-01-09,47,0.861825503,"6",NA,5,356,356,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",1,1,5,"N","N","Y","N","Y",NA,NA,"Collected with electronic sampling system",NA,1,"11",1
"ODFW",2017,"Arrowtooth","Astoria","SF",2017-01-09,58,1.905087954,"6",NA,2,357,357,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","Y","NA",1,1,5,"N","N","Y","N","Y","spent, a residual stage 9 present",NA,"Collected with electronic sampling system",NA,1,"11",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-13,34,0.272155422,"1","OR1651935",17,366,366,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,1,"3",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-11-02,49,1.224699399,"4","OR1652162",22,381,381,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,2,"Y","N","N","N","N","Marking as spawning, some were very close, possibly spawned some already",NA,NA,NA,1,"8",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-13,23,0.090718474,"1","OR1651935",21,386,386,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,1,"2",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-11-02,49,1.36077711,"3","OR1652162",23,390,390,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-11-02,66,3.17514659,"3","OR1652162",2,394,394,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2017,"Arrowtooth","Astoria","SF",2017-01-09,48,1.043262451,"6",NA,3,424,424,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",1,1,5,"N","N","Y","N","Y",NA,NA,"Collected with electronic sampling system",NA,1,"11",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-11,44,0.77,"3","OR160851",2,437,437,2018-05-30,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,0,75,"N","N","N","N","N","Mass atresia of almost everything that was maturing",NA,NA,NA,1,"4_1",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-13,36,0.45359237,"7","OR1651935",4,455,455,2018-05-30,"MH",1,"N","Y","Y","Y","Y","Y","Y","N","N","N","N","NA",1,0,50,"N","N","N","N","N","Mass atresia of maturing oocytes",NA,NA,NA,0,"5",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-11-02,35,0.317514659,"1","OR1652162",10,495,495,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,5,"N","N","N","N","N",NA,NA,NA,NA,1,"3",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-11-18,28,0.181436948,"1","OR1652208",28,510,510,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,1,"2",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-13,34,0.362873896,"1","OR1651935",16,634,634,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,5,"N","N","N","N","N",NA,NA,NA,NA,1,"3",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-11-18,39,0.45359237,"1","OR1652208",12,707,707,2018-05-30,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,0,50,"N","N","N","N","N","Early maturing oocyte in atresia, abortive maturation",NA,NA,NA,0,"4_1",0
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,55,1.496854821,"1","OR160849",24,728,728,2018-05-30,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,0,5,"N","N","N","N","N","A couple of oocytes with very early yolk, not advanced enough to continue toward spawning",NA,NA,NA,0,"4_1",0
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,52,1.315417873,"3","OR160849",26,739,739,2018-05-30,"MH",1,"N","Y","Y","N","Y","Y","Y","Y","N","N","N","NA",1,1,10,"N","N","N","N","N",NA,NA,NA,NA,0,"6",1
"ODFW",2016,"Arrowtooth","Astoria","CR",2016-09-28,59,2.358680324,"4","OR160850",9,747,747,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,1,"8",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,52,1.406136347,"3","OR160849",29,748,748,2018-05-30,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,0,90,"N","N","N","N","N","mass atresia, almost everything is being reabsorbed",NA,NA,NA,1,"4_1",1
"ODFW",2016,"Arrowtooth","Astoria","CR",2016-09-28,39,0.589670081,"1","OR160850",25,752,752,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,15,"N","N","N","N","N",NA,NA,NA,NA,1,"3",1
"ODFW",2016,"Arrowtooth","Astoria","CR",2016-09-28,54,1.36077711,"4","OR160850",19,756,756,2018-05-30,"MH",1,"N","Y","Y","Y","N","Y","Y","Y","N","N","N","NA",1,1,5,"N","N","N","N","N",NA,NA,NA,NA,1,"6",1
"ODFW",2016,"Arrowtooth","Astoria","CR",2016-09-28,62,2.948350405,"4","OR160850",14,761,761,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,1,"8",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-11-02,55,1.950447191,"3","OR1652162",3,775,775,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,5,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2016,"Arrowtooth","Astoria","CR",2016-09-28,49,1.36077711,"4","OR160850",11,788,788,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,5,"N","N","N","N","N",NA,NA,NA,NA,1,"8",1
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,40,0.680388555,"3","OR1652432",3,798,798,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","Y","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,41,0.589670081,"6","OR1652432",14,802,802,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","Y","NA",1,1,5,"N","N","Y","N","Y","residual stage 9s",NA,NA,NA,1,"11",1
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,41,0.680388555,"7","OR1652432",1,810,810,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,1,"N","N","N","N","N",NA,NA,NA,NA,0,"3",0
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,33,0.317514659,"3","OR1652432",13,814,814,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,39,0.635029318,"3","OR1652432",2,828,828,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,37,0.45359237,"3","OR1652432",15,832,832,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,35,0.408233133,"3","OR1652432",4,852,852,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,41,0.498951607,"7","OR1652432",5,856,856,2018-05-30,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,1,"N","N","N","N","N",NA,NA,NA,NA,0,"3",0
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,38,0.544310844,"3","OR1652432",6,864,864,2018-05-30,"MH",1,"N","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,47,1.043262451,"4","OR1652432",9,872,872,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,1,"8",1
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,38,0.45359237,"7","OR1652432",11,876,876,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,0,"3",0
"ODFW",2016,"Arrowtooth","Brookings","CG",2016-12-05,40,0.635029318,"3","OR1652432",12,880,880,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N","There was a random rf larvae on the slide",NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-14,35,NA,"3","OR1652330",10,882,882,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-04,45,0.816466266,"3","OR1652283",29,886,886,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-14,39,NA,"3","OR1652330",2,897,897,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,10,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-04,47,1.043262451,"3","OR1652283",6,920,920,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,5,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-10-04,42,0.69,"3","OR1652371",2,929,929,2018-05-31,"MH",1,"N","Y","Y","N","N","Y","Y","Y","N","N","N","NA",1,1,10,"N","N","N","N","N",NA,NA,NA,NA,0,"6",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-04,40,0.635029318,"4","OR1652283",30,936,936,2018-05-31,"MH",1,"Y","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,5,"N","N","N","N","N","terrible slide, close to spawning",NA,NA,NA,1,"8",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-10-04,47,0.97,"3","OR1652371",1,943,943,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-04,52,1.587573295,"4","OR1652283",2,948,948,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,1,"N","N","N","N","N","Close to spawning",NA,NA,NA,1,"8",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-11-18,46,0.90718474,"3","OR1652198",4,952,952,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,5,"N","N","N","N","N",NA,"Missing ovary",NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-04,44,0.997903214,"3","OR1652283",8,954,954,2018-05-31,"MH",1,"Y","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N","poor slide quality",NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-10-04,44,0.74,"3","OR1652371",5,960,960,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-04,47,0.952543977,"6","OR1652283",7,966,966,2018-05-31,"MH",1,"Y","Y","Y","Y","N","N","N","N","N","N","N","NA",1,1,10,"N","N","Y","N","Y","poor slide quality, spent",NA,NA,NA,1,"11",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-04,56,1.905087954,"4","OR1652283",1,978,978,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,5,"N","N","N","N","N","some close to spawning",NA,NA,NA,1,"8",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-04,40,0.680388555,"3","OR1652283",18,986,986,2018-05-31,"MH",1,"Y","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N","poor slde quality",NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-10-04,38,0.42,"3","OR1652371",3,988,988,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,2,"N","N","N","N","N",NA,NA,NA,NA,0,"3",0
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-10-04,55,1.62,"3","OR1652371",14,990,990,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-10-04,46,0.84,"3","OR1652371",4,992,992,2018-05-31,"MH",1,"N","Y","Y","N","N","N","Y","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-12-04,41,0.725747792,"3","OR1652283",12,994,994,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-11-18,53,1.587573295,"3","OR1652198",10,1006,1006,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-11-18,51,1.587573295,"3","OR1652198",5,1017,1017,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-11-18,44,0.861825503,"3","OR1652198",12,1022,1022,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-11-18,41,0.725747792,"3","OR1652198",6,1025,1025,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-11-18,45,0.952543977,"3","OR1652198",18,1030,1030,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-11-18,54,1.678291769,"3","OR1652198",22,1032,1032,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","Y","Y","Y","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-11-18,50,1.451495584,"3","OR1652198",9,1033,1033,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","N","Y","Y","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"8",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-10-04,51,1.21,"3","OR1652371",25,1037,1037,2018-05-31,"MH",1,"N","Y","Y","N","N","N","Y","Y","N","N","N","NA",1,1,1,"N","N","N","N","N",NA,NA,NA,NA,0,"6",1
"ODFW",2016,"Arrowtooth","Newport","JSM",2016-10-04,42,0.72,"3","OR1652371",8,1044,1044,2018-05-31,"MH",1,"N","Y","Y","N","N","N","Y","Y","N","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"6",1
"ODFW",2016,"Arrowtooth","Astoria","KL",2016-10-31,32,0.272155422,"1","OR1652054",23,1096,1096,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,1,"N","N","N","N","N",NA,NA,NA,NA,1,"3",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-03-02,51,1.224699399,"7",NA,4,1145,1145,2018-05-31,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,1,5,"N","N","Y","Y","Y","residuals present from spawning, recovering",NA,NA,NA,1,"12",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-03-02,42,0.635029318,"7",NA,11,1153,1153,2018-05-31,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,1,10,"N","N","Y","Y","Y","residuals present from spawning, recovering",NA,NA,NA,1,"12",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-02-09,48,0.997903214,"6",NA,11,1179,1179,2018-05-31,"MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","NA",1,1,5,"N","N","Y","Y","Y","spent, recovering",NA,NA,NA,1,"12",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-02-09,44,0.771107029,"6",NA,6,1180,1180,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",1,1,5,"N","N","Y","N","Y","spent, recovering",NA,NA,NA,1,"11",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-01-25,40,0.589670081,"7",NA,11,1184,1184,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",0,0,1,"N","N","N","N","N",NA,NA,NA,NA,0,"3",0
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-02-09,45,0.90718474,"6",NA,7,1195,1195,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",1,1,2,"N","N","Y","Y","Y","spent, recovering",NA,NA,NA,1,"12",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-01-25,33,0.272155422,"1",NA,17,1196,1196,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",0,0,0,"N","N","N","N","N",NA,NA,NA,NA,1,"2",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-02-09,39,0.544310844,"6",NA,8,1199,1199,2018-05-31,"MH",1,"N","Y","Y","N","N","N","N","N","N","N","N","NA",1,1,2,"N","N","Y","N","Y","spent, recovering",NA,NA,NA,1,"11",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-02-09,54,1.496854821,"7",NA,9,1202,1202,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",1,1,5,"N","N","Y","N","Y","spent, recovering",NA,NA,NA,1,"11",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-01-25,41,0.589670081,"7",NA,5,1203,1203,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",1,1,2,"N","N","Y","N","Y","spent, recovering",NA,NA,NA,1,"11",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-01-25,43,0.680388555,"7",NA,4,1211,1211,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",1,1,5,"N","N","Y","N","Y","spent, recovering",NA,NA,NA,1,"11",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-02-09,47,0.997903214,"7",NA,5,1215,1215,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",1,1,5,"N","N","Y","Y","Y","spent, recovering",NA,NA,NA,1,"12",1
"ODFW",2017,"Arrowtooth","Astoria","KL",2017-02-09,51,1.179340162,"7",NA,4,1219,1219,2018-05-31,"MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","NA",1,1,5,"N","N","Y","Y","Y","spent, recovering",NA,NA,NA,1,"12",1
"ODFW",2016,"Arrowtooth","Astoria","SF",2016-09-19,59,2.177243376,"3","OR160849",4,1236,1236,2018-05-31,"MH",1,"N","Y","Y","N","N","N","Y","Y","Y","N","N","NA",1,1,2,"N","N","N","N","N",NA,NA,NA,NA,0,"7",1
