"x","program","year","species","port_sampled","port_biologist_initials","date_of_collection","vessel_name","length_cm","weight_lbs","weight_kg","macro_maturity_code","oregon_sample_number","fish_id_number","ovary_id_number","slide_number","date_read","reader","certainty","bad_slide","x1","x2","x3","x4_1","x4_2","x5","x6","x7","x8","x9","x10","biological_maturity","functional_maturity","percent_atresia","spawning","x11","po_fs_present_y_n","x12","histology_notes","data_notes","port_sampler_remarks","processing_notes","histo_stage","bio_macro_agree"
11,"ODFW",NA,"Canary","Newport","JSM","2015-11-24",NA,40,2.5,1.13,3,"OR151493",3,445,445,"2016-07-21","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,2,"N","N","N","N","a couple of oocytes with early yolk development, not advanced enough for spawning, dummy run, most are immature",NA,NA,NA,"4_1",1
12,"ODFW",NA,"Canary","Newport","JSM","2015-11-24",NA,43,3.3,1.5,2,"OR151493",1,456,456,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,1,"N","N","N","N","possible yolk granules present, definitely not mature",NA,NA,NA,"3",1
13,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,50,4.4,2,7,"OR160035",12,474,474,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",1,1,2,"N","Y","Y","Y","Spent ovary, POFs in full reabsorption. This fish appears to have spawned about 3 - 4 weeks previously",NA,NA,NA,"12",1
14,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,52,4.6,2.09,7,"OR160035",13,575,575,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",1,1,5,"N","Y","Y","Y","This fish is almost a resting/recovering fish. Still a few resdiual embryos in late stage of reabsorption. Most of the POFs have been reabsorbed, but there are still a few present.",NA,NA,NA,"12",1
15,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,45,3.4,1.54,7,"OR160035",9,576,576,"2016-07-21","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,5,"N","N","N","N","A few atretic oocytes looked like they may have had early yolk, everything else immature",NA,NA,NA,"3",0
17,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,47,4.1,1.86,7,"OR160035",8,603,603,"2016-09-01","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,2,"N","N","N","N","This fish is an abortive spawner, it did not spawn. There was a couple of oocytes present with early vitellogenesis present, a few larger oocytes in full atresia",NA,NA,NA,"4_1",1
18,"ODFW",NA,"Canary","Astoria","SF","2015-11-23",NA,53,6.7,3.04,4,"OR154808",19,614,614,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","Y","Y",1,1,5,"Y","Y","Y","N","This fish is mainly spent, a few embryos left over. Maybe a second batch or the left overs that would have been reabsorbed. This is early for spawning of Canary",NA,"All from the 'disaster'  40K tow",NA,"11",1
19,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,51,4.9,2.22,7,"OR160035",3,619,619,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",1,1,15,"N","Y","Y","Y","This fish appears to have spawned a month or so before. Structures that resemble old POFs were almost reabsorbed. Marking as spent",NA,NA,NA,"12",1
20,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,35,1.7,0.77,7,"OR160035",16,627,627,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N","This is clearly not a spawner, but poor slide quality. There may have been an oocyte or two with early yolk, but certain about immature status",NA,NA,NA,"3",0
21,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,54,5.6,2.54,7,"OR160035",4,635,635,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",1,1,5,"N","Y","Y","Y","Post spawning at least a couple weeks, POFs in full reabsorption.",NA,NA,NA,"12",1
23,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,53,5.2,2.36,6,"OR160035",18,654,654,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","N","Y","Y","N","N",1,1,15,"N","Y","Y","Y","Late stage POF reabsorption, post spawning, spent and reorganizing.",NA,NA,NA,"12",1
24,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,41,2.3,1.04,7,"OR160035",17,658,658,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N",NA,NA,NA,NA,"3",0
25,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,35,1.8,0.82,7,"OR160035",1,675,675,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,1,"N","N","N","N","Poor slide qualtiy but clearly immature",NA,NA,NA,"3",0
26,"ODFW",NA,"Canary","Astoria","SF","2015-11-23",NA,46,4.2,1.91,3,"OR154808",20,762,762,"2016-09-01","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,5,"N","N","N","N","I don't think this fish would have gone on to spawn, since it was so underdeveloped for Late Nov. While some oocytes were larger with early yolk, many larger ones were in early stages of atresia.",NA,"All from the 'disaster'  40K tow",NA,"4_1",1
27,"ODFW",NA,"Canary","Astoria","SF","2015-11-23",NA,52,5.4,2.45,3,"OR154808",23,769,769,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,1,"N","N","N","N","Nicely developed",NA,"All from the 'disaster'  40K tow",NA,"8",1
28,"ODFW",NA,"Canary","Astoria","SF","2015-11-23",NA,53,6.1,2.77,4,"SP150019",1,770,770,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","Y","Y",1,1,2,"Y","N","Y","N","Spawning, POFs present",NA,NA,NA,"10",1
29,"ODFW",NA,"Canary","Astoria","SF","2015-11-23",NA,55,6.7,3.04,3,"OR154808",28,773,773,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","Y","Y","N","N","N","N",1,1,1,"N","N","N","N",NA,NA,"All from the 'disaster'  40K tow",NA,"6",1
30,"ODFW",NA,"Canary","Astoria","SF","2015-11-23",NA,53,6.3,2.86,3,"OR154808",22,777,777,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","Y","Y","N","N","N",1,1,0,"N","N","N","N",NA,NA,"All from the 'disaster'  40K tow",NA,"7",1
31,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,42,2.7,1.22,7,"OR160035",19,785,785,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N",NA,NA,NA,NA,"3",0
32,"ODFW",NA,"Canary","Astoria","SF","2015-11-23",NA,51,5,2.27,3,"OR154808",13,786,786,"2016-09-01","MH",1,NA,"Y","Y","Y","N","N","Y","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,"All from the 'disaster'  40K tow",NA,"7",1
33,"ODFW",NA,"Canary","Astoria","KL","2016-02-24",NA,46,3.5,1.59,7,"OR160035",20,791,791,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N","Some larger oocytes in atresia",NA,NA,NA,"3",0
34,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,55,6.3,2.86,3,"OR154807",14,7332,7332,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","Y","Y","Y","N","N","N",1,1,1,"N","N","N","N","Nicely developed",NA,NA,NA,"7",1
35,"ODFW",NA,"Canary","Astoria","SF","2015-11-06",NA,42,2.7,1.22,2,"SP150018",10,8244,8244,"2016-09-06","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,5,"N","N","N","N","Many larger yolked oocytes in atresia, this fish is an abortive spawner",NA,NA,NA,"4_1",0
36,"ODFW",NA,"Canary","Astoria","SF","2015-11-23",NA,40,2.7,1.22,3,"SP150019",2,9066,9066,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","Y","Y","N","N","N",1,0,75,"N","N","N","N","This fish appears to be skipping a spawning attempt, majority of yolked oocytes in early stage of atresia. Based on size of ovarian wall I don't think this fish had spawned before.",NA,NA,NA,"7",1
37,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,57,7.7,3.49,3,"OR154807",15,9098,9098,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,2,"N","N","N","N",NA,NA,NA,NA,"8",1
38,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,55,6.3,2.86,3,"OR154807",6,9118,9118,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"8",1
39,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,42,3,1.36,7,"OR154807",29,9119,9119,"2016-09-06","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,2,"N","N","N","N","A few oocytes in early yolk development, clearly not a spawner based on lack of development in Novemeber",NA,NA,NA,"4_1",1
40,"ODFW",NA,"Canary","Astoria","KL","2015-12-02",NA,40,2.6,1.18,7,"OR154864",3,9120,9120,"2016-09-06","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,2,"N","N","N","N","A few oocytes in early yolk development, clearly not a spawner based on lack of development in December",NA,NA,NA,"4_1",1
41,"ODFW",NA,"Canary","Astoria","KL","2015-12-02",NA,40,2.7,1.22,7,"OR154864",8,9123,9123,"2016-09-06","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,2,"N","N","N","N","A few oocytes in early yolk development, clearly not a spawner based on lack of development in December",NA,NA,NA,"4_1",1
42,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,44,3.4,1.54,7,"OR154807",21,9126,9126,"2016-09-06","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,2,"N","N","N","N","A few oocytes in early yolk development, clearly not a spawner based on lack of development in Novemeber",NA,NA,NA,"4_1",1
43,"ODFW",NA,"Canary","Astoria","KL","2015-12-02",NA,34,1.4,0.64,2,"OR154864",7,9127,9127,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,1,"N","N","N","N",NA,NA,NA,NA,"3",1
44,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,40,2.5,1.13,7,"OR154807",28,9130,9130,"2016-09-06","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,5,"N","N","N","N","A few oocytes in early yolk development, clearly not a spawner based on lack of development in Novemeber",NA,NA,NA,"4_1",1
45,"ODFW",NA,"Canary","Astoria","KL","2015-12-02",NA,44,3.2,1.45,7,"OR154864",1,9131,9131,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,5,"N","N","N","N","There may have been oocytes with early yolk present at one point, but now appear to be in full atresia",NA,NA,NA,"3",0
46,"ODFW",NA,"Canary","Astoria","SF","2015-11-06",NA,48,4.5,2.04,3,"SP150018",3,9135,9135,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","Y","Y","Y","Y","N","N",1,1,5,"N","N","N","N",NA,NA,NA,NA,"8",1
47,"ODFW",NA,"Canary","Astoria","SF","2015-11-06",NA,43,3,1.36,2,"SP150018",4,9139,9139,"2016-09-06","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,15,"N","N","N","N","Larger oocytes had a nice ring of yolk present along the periphery of the cytoplasm, but this fish appeared to be aborting a dummy run.",NA,NA,NA,"4_1",0
48,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,51,4.5,2.04,3,"OR154807",20,9142,9142,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","Y","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"7",1
49,"ODFW",NA,"Canary","Astoria","SF","2015-11-06",NA,44,3.2,1.45,3,"SP150018",5,9143,9143,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","Y","Y","Y","N","N","N",1,1,2,"N","N","N","N",NA,NA,NA,NA,"7",1
50,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,56,7.3,3.31,3,"OR154807",13,9144,9144,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"8",1
51,"ODFW",NA,"Canary","Astoria","SF","2015-11-06",NA,49,4.7,2.13,3,"SP150018",6,9147,9147,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","Y","Y","Y","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"8",1
52,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,53,5.8,2.63,3,"OR154807",22,9148,9148,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"7",1
53,"ODFW",NA,"Canary","Astoria","SF","2015-11-06",NA,44,3.4,1.54,2,"SP150018",2,9151,9151,"2016-09-06","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,20,"N","N","N","N","Larger oocytes had a nice ring of yolk present along the periphery of the cytoplasm, but this fish appeared to be aborting a dummy run. Larger oocytes in atresia, some oocytes close to 25% yolk, may have aborted others that were more advanced already.",NA,NA,NA,"4_1",0
54,"ODFW",NA,"Canary","Astoria","SF","2015-11-06",NA,46,3.8,1.72,3,"SP150018",1,9155,9155,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","Y","Y","N","N","N",1,1,15,"N","N","N","N","Quite a few larger oocytes in atresia and don't look healthy. This fish may have been aborting a portion of the yolked oocytes.",NA,NA,NA,"7",1
55,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,45,3.2,1.45,7,"OR154807",9,9160,9160,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N",NA,NA,NA,NA,"3",0
56,"ODFW",NA,"Canary","Astoria","SF","2015-11-06",NA,47,4,1.81,2,"SP150018",7,9483,9483,"2016-09-06","MH",1,NA,"Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,20,"N","N","N","N","Oddball stage 6 on slide not from this fish. Some older atresia, maybe a dummy run?",NA,NA,NA,"4_1",0
57,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,53,5.2,2.36,3,"OR154807",19,9490,9490,"2016-09-06","MH",1,NA,"Y","Y","Y","N","Y","Y","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"7",1
58,"ODFW",NA,"Canary","Astoria","SF","2015-11-04",NA,47,3.5,1.59,7,"OR154807",17,9494,9494,"2016-09-06","MH",1,NA,"Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N",NA,NA,NA,NA,"3",0
59,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,50,NA,2.222602613,2,"OR160920",5,12,NA,"2017-10-25","MH",1,"Y","Y","Y","Y","N","Y","Y","N","N","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"5",0
60,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-13",NA,46,NA,1.723651006,3,NA,19,13,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","Y","Y","N","N","N","N","N",1,1,5,"N","N","N","N",NA,NA,"Collected with electronic sampling system",NA,"5",1
61,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,49,NA,1.950447191,3,"OR160920",13,21,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","Y","Y","Y","N","N","N","N",1,1,2,"N","N","N","N",NA,NA,NA,NA,"6",1
62,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-13",NA,38,NA,0.952543977,1,NA,15,30,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,1,"N","N","N","N",NA,NA,"Collected with electronic sampling system",NA,"3",1
63,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-13",NA,39,NA,0.861825503,2,NA,9,31,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,5,"N","N","N","N",NA,NA,"Collected with electronic sampling system",NA,"4_1",0
64,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,51,NA,2.26796185,3,"OR160920",1,34,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","Y","Y","N","N","N","N",1,1,2,"N","N","N","N",NA,NA,NA,NA,"6",1
65,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-13",NA,34,NA,0.680388555,1,NA,18,36,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N",NA,NA,"Collected with electronic sampling system",NA,"3",1
66,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,52,NA,2.26796185,3,"OR160920",22,37,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","Y","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"7",1
67,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,50,NA,2.404039561,3,"OR160920",28,43,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","Y","Y","Y","N","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"6",1
68,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,43,NA,1.542214058,2,"OR160920",29,44,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","Y","Y","N","N","N","N","N",1,1,5,"N","N","N","N",NA,NA,NA,NA,"5",0
69,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-13",NA,35,NA,0.771107029,1,NA,10,93,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,1,"N","N","N","N",NA,NA,"Collected with electronic sampling system",NA,"3",1
70,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-03",NA,32,NA,0.589670081,1,"OR160919",2,107,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,1,"N","N","N","N",NA,NA,NA,NA,"3",1
71,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,44,NA,1.632932532,2,"OR160920",7,141,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,2,"N","N","N","N",NA,NA,NA,NA,"4_1",0
72,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,45,NA,1.587573295,3,"OR160920",8,149,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,2,"N","N","N","N",NA,NA,NA,NA,"4_1",1
73,"ODFW",2016,"Canary RF","Astoria","SF","2016-11-01",NA,48,NA,1.678291769,3,"OR1652152",8,171,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,20,"N","N","N","N",NA,NA,NA,NA,"4_1",1
74,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-13",NA,27,NA,0.272155422,1,NA,30,185,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N",NA,NA,"Collected with electronic sampling system",NA,"3",1
75,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-13",NA,36,NA,0.861825503,3,NA,21,224,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,5,"N","N","N","N",NA,NA,"Collected with electronic sampling system",NA,"4_1",1
76,"ODFW",2016,"Canary RF","Astoria","JL","2016-10-06",NA,50,NA,NA,3,"OR160738",3,273,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","Y","Y","Y","N","N","N",1,0,50,"N","N","N","N","skip spawner, unusual b/c these oocytes were in hydration, but beginning atresia.",NA,NA,NA,"7",1
77,"ODFW",2016,"Canary RF","Astoria","JL","2016-10-06",NA,52,NA,NA,3,"OR160738",9,329,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","Y","Y","N","N","N","N","N",1,1,5,"N","N","N","N",NA,NA,NA,NA,"5",1
78,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,44,NA,1.451495584,2,"OR160920",14,330,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,1,"N","N","N","N",NA,NA,NA,NA,"4_1",0
79,"ODFW",2016,"Canary RF","Astoria","SF","2016-11-01",NA,36,NA,0.861825503,2,"OR1652152",5,332,NA,"2017-10-25","MH",1,"Y","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,2,"N","N","N","N",NA,NA,NA,NA,"3",1
80,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,44,NA,1.678291769,2,"OR160920",15,338,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","Y","N","N","N","N","N","N",1,1,5,"N","N","N","N",NA,NA,NA,NA,"4_2",0
81,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,44,NA,1.678291769,2,"OR160920",24,342,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,2,"N","N","N","N",NA,NA,NA,NA,"4_1",0
82,"ODFW",2016,"Canary RF","Astoria","SF","2016-11-01",NA,40,NA,1.088621688,2,"OR1652152",2,344,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,5,"N","N","N","N",NA,NA,NA,NA,"3",1
84,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,55,NA,2.72155422,3,"OR160920",17,377,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","Y","N","Y","Y","N","N","N",1,1,1,"N","N","N","N","early hydration",NA,NA,NA,"7",1
85,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,45,NA,1.496854821,2,"OR160920",26,387,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","N","N","N","N","N",0,0,1,"N","N","N","N",NA,NA,NA,NA,"3",1
86,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,47,NA,1.950447191,3,"OR160920",9,391,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","Y","Y","Y","N","N","N","N",1,1,2,"N","N","N","N",NA,NA,NA,NA,"6",1
87,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-03",NA,44,NA,1.36077711,3,"OR160919",1,716,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,30,"N","N","N","N",NA,NA,NA,NA,"4_1",1
88,"ODFW",2016,"Canary RF","Astoria","SF","2016-10-04",NA,48,NA,1.859728717,3,"OR160920",12,774,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","Y","Y","N","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"6",1
89,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,47,NA,1.905087954,3,"OR1652246",12,931,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","Y","Y","Y","Y","N","N","N",1,1,2,"N","N","N","N",NA,NA,NA,NA,"7",1
90,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,44,NA,1.496854821,3,"OR1652246",11,939,NA,"2017-10-25","MH",1,"N","Y","Y","Y","Y","N","N","N","N","N","N","N",1,0,2,"N","N","N","N",NA,NA,NA,NA,"4_1",1
91,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,51,NA,2.222602613,3,"OR1652246",10,942,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"7",1
92,"ODFW",2016,"Canary RF","Newport","JSM","2016-11-19",NA,57,NA,3.129787353,3,"OR1652246",6,946,NA,"2017-10-25","MH",1,"N","Y","Y","Y","N","N","N","Y","Y","N","N","N",1,1,1,"N","N","N","N",NA,NA,NA,NA,"7",1
