Program,Year,Species,Port sampled,Port Biologist Initials,Date of Collection,Length (cm),Weight_kg,Maturity Code,Oregon Sample #,Fish ID#,Ovary ID#,Slide #,Date read,Reader,Certainty of reader (1/0),Bad Slide,1,2,3,4_1,4_2,5,6,7,8,9,10,11,12,Biological_maturity,Functional_maturity,atresia,Spawning,Spent,POFs Present Y/N,Reorganizing/Regenerating,Individual stage accuracy,
ODFW,2015,Canary,Astoria,SF,11/23/2015,55,3.08,3,OR154808,8,64,64,7/21/2016,MH,1,,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,10/13/2016,35,0.77,1,,10,93,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/3/2016,32,0.59,1,OR160919,2,107,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,44,1.63,2,OR160920,7,141,,10/25/2017,MH,1,N,Y,Y,Y,Y,N, N,N,N,N,N,N,N,N,1,0,2,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,45,1.59,3,OR160920,8,149,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,2,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,11/1/2016,48,1.68,3,OR1652152,8,171,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,20,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/13/2016,27,0.27,1,,30,185,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/13/2016,36,0.86,3,,21,224,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,5,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,JL,10/6/2016,50,,3,OR160738,3,273,,10/25/2017,MH,1,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,1,0,50,N,N,N,N,0,
ODFW,2016,Canary,Astoria,KL,2/24/2016,55,2.22,7,OR160035,2,292,292,7/21/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,1,1,5,N,Y,Y,Y,1,
ODFW,2016,Canary,Astoria,KL,2/24/2016,53,2.27,7,OR160035,6,296,296,7/21/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,1,1,5,N,Y,Y,Y,1,
ODFW,2016,Canary RF,Astoria,JL,10/6/2016,52,,3,OR160738,9,329,,10/25/2017,MH,1,N,Y,Y,Y,N,Y,Y,N,N,N,N,N,N,N,1,1,5,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,44,1.45,2,OR160920,14,330,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,1,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,11/1/2016,36,0.86,2,OR1652152,5,332,,10/25/2017,MH,1,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,44,1.68,2,OR160920,15,338,,10/25/2017,MH,1,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,5,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,44,1.68,2,OR160920,24,342,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,2,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,11/1/2016,40,1.09,2,OR1652152,2,344,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,5,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,39,1.13,2,OR160920,10,375,,10/25/2017,MH,0,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,1,5,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,55,2.72,3,OR160920,17,377,,10/25/2017,MH,1,N,Y,Y,Y,N,Y,N,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,45,1.50,2,OR160920,26,387,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,47,1.95,3,OR160920,9,391,,10/25/2017,MH,1,N,Y,Y,Y,N,Y,Y,Y,N,N,N,N,N,N,1,1,2,N,N,N,N,1,
ODFW,2015,Canary,Newport,jsm,11/24/2015,40,1.13,3,OR151493,3,445,445,7/21/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,2,N,N,N,N,1,
ODFW,2015,Canary,Newport,jsm,11/24/2015,43,1.5,2,OR151493,1,456,456,7/21/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1,N,N,N,N,1,
ODFW,2016,Canary,Astoria,KL,2/24/2016,50,2,7,OR160035,12,474,474,7/21/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,1,1,2,N,Y,Y,Y,1,
ODFW,2016,Canary,Astoria,KL,2/24/2016,52,2.09,7,OR160035,13,575,575,7/21/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,1,1,5,N,Y,Y,Y,1,
ODFW,2016,Canary,Astoria,KL,2/24/2016,45,1.54,7,OR160035,9,576,576,7/21/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,5,N,N,N,N,0,
ODFW,2016,Canary,Astoria,KL,2/24/2016,46,1.68,7,OR160035,7,599,599,9/1/2016,MH,0,,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,1,1,50,N,N,N,Y,1,
ODFW,2016,Canary,Astoria,KL,2/24/2016,47,1.86,7,OR160035,8,603,603,9/1/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,2,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/23/2015,53,3.04,4,OR154808,19,614,614,9/1/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,Y,Y,Y,N,1,1,5,Y,Y,Y,N,0,
ODFW,2016,Canary,Astoria,KL,2/24/2016,51,2.22,7,OR160035,3,619,619,9/1/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,1,1,15,N,Y,Y,Y,1,
ODFW,2016,Canary,Astoria,KL,2/24/2016,35,0.77,7,OR160035,16,627,627,9/1/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,0,
ODFW,2016,Canary,Astoria,KL,2/24/2016,54,2.54,7,OR160035,4,635,635,9/1/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,Y,Y,1,1,5,N,Y,Y,Y,1,
ODFW,2016,Canary,Astoria,KL,2/24/2016,45,1.5,7,OR160035,5,639,639,9/1/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,Y,0,0,20,N,N,N,Y,1,
ODFW,2016,Canary,Astoria,KL,2/24/2016,53,2.36,6,OR160035,18,654,654,9/1/2016,MH,1,,Y,Y,Y,N,N,N,N,Y,Y,N,N,Y,Y,1,1,15,N,Y,Y,Y,1,
ODFW,2016,Canary,Astoria,KL,2/24/2016,41,1.04,7,OR160035,17,658,658,9/1/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,0,
ODFW,2016,Canary,Astoria,KL,2/24/2016,35,0.82,7,OR160035,1,675,675,9/1/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,SF,10/3/2016,44,1.36,3,OR160919,1,716,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,30,N,N,N,N,1,
ODFW,2015,Canary,Astoria,SF,11/23/2015,46,1.91,3,OR154808,20,762,762,9/1/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,5,N,N,N,N,1,
ODFW,2015,Canary,Astoria,SF,11/23/2015,52,2.45,3,OR154808,23,769,769,9/1/2016,MH,1,,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/23/2015,53,2.77,4,SP150019,1,770,770,9/1/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,Y,Y,N,N,1,1,2,Y,N,Y,N,0,
ODFW,2015,Canary,Astoria,SF,11/23/2015,55,3.04,3,OR154808,28,773,773,9/1/2016,MH,1,,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,1,1,1,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,SF,10/4/2016,48,1.86,3,OR160920,12,774,,10/25/2017,MH,1,N,Y,Y,Y,N,N,Y,Y,N,N,N,N,N,N,1,1,1,N,N,N,N,1,
ODFW,2015,Canary,Astoria,SF,11/23/2015,53,2.86,3,OR154808,22,777,777,9/1/2016,MH,1,,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,1,1,0,N,N,N,N,0,
ODFW,2016,Canary,Astoria,KL,2/24/2016,42,1.22,7,OR160035,19,785,785,9/1/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/23/2015,51,2.27,3,OR154808,13,786,786,9/1/2016,MH,1,,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary,Astoria,KL,2/24/2016,46,1.59,7,OR160035,20,791,791,9/6/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,47,1.91,3,OR1652246,12,931,,10/25/2017,MH,1,N,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,1,1,2,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,44,1.50,3,OR1652246,11,939,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,2,N,N,N,N,1,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,51,2.22,3,OR1652246,10,942,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,57,3.13,3,OR1652246,6,946,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,55,2.90,3,OR1652246,5,950,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,52,2.40,3,OR1652246,14,951,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,51,2.40,3,OR1652246,17,955,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,43,1.45,3,OR1652246,7,958,,10/25/2017,MH,1,N,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,N,1,0,50,N,N,N,N,1,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,59,3.36,3,OR1652246,27,979,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,10/21/2016,43,1.36,3,OR1651973,1,1011,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,0,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,41,1.32,2,OR1652246,20,1023,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,5,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,51,2.36,3,OR1652246,29,1040,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Newport,JM,11/19/2016,51,2.40,3,OR1652246,21,1042,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,CR,10/12/2016,27,0.32,1,OR1651844,3,1089,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,CR,10/12/2016,47,1.72,3,OR1651844,2,1093,,10/25/2017,MH,1,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,CR,10/12/2016,34,0.68,2,OR1651844,1,1097,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,CR,10/6/2016,54,2.54,3,OR160922,1,1130,,10/25/2017,MH,1,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,1,1,2,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,KL,10/24/2016,55,3.13,3,OR1652001,13,1132,,10/25/2017,MH,1,N,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,KL,10/24/2016,36,0.86,3,OR1652001,7,1134,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,5,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,KL,10/24/2016,42,1.32,7,OR1652001,2,1138,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,5,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,KL,10/24/2016,53,2.72,3,OR1652001,1,1146,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,KL,10/24/2016,37,1.04,3,OR1652001,5,1150,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,5,N,N,N,N,1,
ODFW,2016,Canary RF,Astoria,KL,10/24/2016,37,0.95,7,OR1652001,6,1158,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,5, N,N,N,N,0,
ODFW,2016,Canary RF,Astoria,KL,10/24/2016,46,1.81,3,OR1652001,10,1166,,10/25/2017,MH,1,N,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,20,N,N,N,N,1,
ODFW,2017,Canary RF,Port Orford,LG,2/23/2017,33,0.59,7,OR1752962,1,1250,,10/25/2017,MH,1,N,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,55,2.86,3,OR154807,14,7332,7332,9/6/2016,MH,1,,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/6/2015,42,1.22,2,SP150018,10,8244,8244,9/6/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,5,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/23/2015,40,1.22,3,SP150019,2,9066,9066,9/6/2016,MH,1,,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,1,0,75,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,57,3.49,3,OR154807,15,9098,9098,9/6/2016,MH,1,,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,2,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,55,2.86,3,OR154807,6,9118,9118,9/6/2016,MH,1,,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,42,1.36,7,OR154807,29,9119,9119,9/6/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,2,N,N,N,N,0,
ODFW,2015,Canary,Astoria,KL,12/2/2015,40,1.18,7,OR154864,3,9120,9120,9/6/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,2,N,N,N,N,0,
ODFW,2015,Canary,Astoria,KL,12/2/2015,40,1.22,7,OR154864,8,9123,9123,9/6/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,2,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,44,1.54,7,OR154807,21,9126,9126,9/6/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,2,N,N,N,N,0,
ODFW,2015,Canary,Astoria,KL,12/2/2015,34,0.64,2,OR154864,7,9127,9127,9/6/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,1,N,N,N,N,1,
ODFW,2015,Canary,Astoria,SF,11/4/2015,40,1.13,7,OR154807,28,9130,9130,9/6/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,5,N,N,N,N,0,
ODFW,2015,Canary,Astoria,KL,12/2/2015,44,1.45,7,OR154864,1,9131,9131,9/6/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,5,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/6/2015,48,2.04,3,SP150018,3,9135,9135,9/6/2016,MH,1,,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,N,N,1,1,5,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/6/2015,43,1.36,2,SP150018,4,9139,9139,9/6/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,15,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,51,2.04,3,OR154807,20,9142,9142,9/6/2016,MH,1,,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/6/2015,44,1.45,3,SP150018,5,9143,9143,9/6/2016,MH,1,,Y,Y,Y,N,N,Y,Y,Y,N,N,N,N,N,1,1,2,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,56,3.31,3,OR154807,13,9144,9144,9/6/2016,MH,1,,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/6/2015,49,2.13,3,SP150018,6,9147,9147,9/6/2016,MH,1,,Y,Y,Y,N,N,N,Y,Y,Y,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,53,2.63,3,OR154807,22,9148,9148,9/6/2016,MH,1,,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/6/2015,44,1.54,2,SP150018,2,9151,9151,9/6/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,20,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/6/2015,46,1.72,3,SP150018,1,9155,9155,9/6/2016,MH,1,,Y,Y,Y,N,N,N,Y,Y,N,N,N,N,N,1,1,15,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,45,1.45,7,OR154807,9,9160,9160,9/6/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/6/2015,47,1.81,2,SP150018,7,9483,9483,9/6/2016,MH,1,,Y,Y,Y,Y,N,N,N,N,N,N,N,N,N,1,0,20,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,53,2.36,3,OR154807,19,9490,9490,9/6/2016,MH,1,,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,N,1,1,1,N,N,N,N,0,
ODFW,2015,Canary,Astoria,SF,11/4/2015,47,1.59,7,OR154807,17,9494,9494,9/6/2016,MH,1,,Y,Y,Y,N,N,N,N,N,N,N,N,N,N,0,0,2,N,N,N,N,0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
